timestamp,event,TCP_pose,joint_angles,TCP_force
26.264000000000124,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.279999999999973,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.951999999999998,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.968000000000075,Start A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27.6400000000001,End A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27.65599999999995,Start transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27.743999999999915,End transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27.799999999999955,Start D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28.448000000000093,End D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28.463999999999942,Start transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
