event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
note,A,down,0.2979166666666666,0.36324999999999996,0.261,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.10157550031494,-0.13091505245646795,1.7816922542718945,-3.919888002923689,0.626622478702588,-0.5193792565802542,32.85
note,A,down,0.29270833333333335,0.358375,0.2615,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.109233982531342,-0.13367690032539115,1.7897401635223438,-3.920840415248893,0.6224605656253064,-0.5295525089534556,32.86
note,A,down,0.2875,0.3535,0.262,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1168924647477443,-0.13643898674941896,1.7977880428907955,-3.921793081145004,0.6182986525480247,-0.5397260387878227,32.87
note,A,down,0.28229166666666666,0.34862499999999996,0.2625,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.124550999100378,-0.13920078690732113,1.8058360417872377,-3.9227460006120216,0.6141367394707431,-0.5498992911610237,32.88
note,A,down,0.27708333333333335,0.34375,0.263,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1322094639380365,-0.14196268248726523,1.8138841602116704,-3.923698159366319,0.6099750590845647,-0.5600726822648081,32.89
note,A,down,0.271875,0.338875,0.2635,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.139870500829784,-0.14472705904029798,1.8219286330323912,-3.9246561502514683,0.6058119825517654,-0.5702487092496669,32.9
note,A,down,0.26666666666666666,0.33399999999999996,0.264,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1483955393505343,-0.1477722626625601,1.828984400197191,-3.926735685256527,0.6015230201319706,-0.5814159662492062,32.910000000000004
note,A,down,0.26145833333333335,0.329125,0.2645,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.15698460116361,-0.1508643185073814,1.8361978247815403,-3.928963305671042,0.5971188756159407,-0.5926050039502577,32.92
note,A,down,0.25625,0.32425,0.265,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.165726908739912,-0.15449598599898906,1.844187494018589,-3.9314247184614457,0.592892507102988,-0.6039046099258649,32.93
note,A,down,0.25104166666666666,0.31937499999999996,0.2655,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1747278467821167,-0.15874126493085483,1.8509420207651779,-3.932063970716994,0.5892206414896868,-0.6153243565862465,32.94
note,A,down,0.24583333333333332,0.3145,0.266,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1837696248723573,-0.16273677666812053,1.8565218563025332,-3.9317508106473382,0.585468264754573,-0.6267121952125656,32.95
note,A,down,0.24062499999999998,0.309625,0.2665,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.1928112986901347,-0.16673219298334435,1.8621015723118979,-3.9314371434358693,0.5817158880194593,-0.6381000338388849,32.96
note,A,down,0.23541666666666666,0.30474999999999997,0.267,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.2018530767803757,-0.17072765700958914,1.8676812584392652,-3.9311234762244003,0.5779635112843455,-0.6494881499263696,32.97
note,A,down,0.23020833333333332,0.299875,0.2675,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.2108947853556407,-0.17472316874685484,1.873261123858618,-3.9308103161547447,0.5742111345492318,-0.6608759885526887,32.980000000000004
note,A,down,0.225,0.295,0.268,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.2199365460671374,-0.17871848964003678,1.8788408697499805,-3.9304969025141823,0.570458757814118,-0.672263827179008,32.99
cross,,,0.225,0.295,0.268,0.0,-0.06997357793639414,-2.3892403072112747,A,D,-2.2199365460671374,-0.17871848964003678,1.8788408697499805,-3.9304969025141823,0.570458757814118,-0.672263827179008,33.0
cross,,,0.24575000000000002,0.30475,0.2525,2.7116568671825547e-05,-0.06560070545571195,-2.3933671397526517,A,D,-2.1745807530942116,-0.13657968655015923,1.850793596882899,-3.9722488737119503,0.594186269638473,-0.6115750238533213,33.01
cross,,,0.2665,0.3145,0.237,3.614549551422819e-05,-0.061227758569254664,-2.3974927077225416,A,D,-2.130380907268143,-0.09754935189630504,1.8221622504899422,-4.011671542561656,0.6176834172703587,-0.5511492537127762,33.02
cross,,,0.28725,0.32425,0.2215,2.710203361200314e-05,-0.056854811717706344,-2.4016171698835356,A,D,-2.0880734849955984,-0.058342629598050366,1.7851110536219088,-4.047450143912556,0.6412129089656315,-0.4922547917460647,33.03
