timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9446.608,1.192,3,Playing d_bow...,Note,57,A3,A,0.806958,0.340853,0.733412,0.141873,-1.612669,-2.207509,1.187886,-2.263919,-0.370558,0.781464,-1.151295,-1.465404,-2.617056,1.223018,-0.148254,-1.547663,0.124818,0.192305,0.170765,A
9446.616,1.2,3,Playing d_bow...,Note,57,A3,A,0.798958,0.340337,0.734894,0.140984,-1.611468,-2.210387,1.191162,-2.262277,-0.365733,0.773329,-1.146724,-1.467585,-2.61649,2.090228,0.442281,-1.468755,0.129527,0.188077,0.162005,A
9446.624,1.208,3,Playing d_bow...,Note,57,A3,A,0.790958,0.339796,0.736364,0.140113,-1.610147,-2.213154,1.194772,-2.260623,-0.360945,0.765199,-1.141872,-1.469772,-2.615942,0.778273,-0.040462,-1.458076,0.135122,0.202992,0.156927,A
9446.632,1.216,3,Playing d_bow...,Note,57,A3,A,0.782958,0.339258,0.737856,0.139258,-1.608855,-2.216,1.198142,-2.258957,-0.356072,0.756857,-1.137059,-1.471925,-2.615398,0.694481,-0.15138,-0.994683,0.131185,0.190727,0.157982,A
9446.64,1.224,3,Playing d_bow...,Note,57,A3,A,0.774958,0.338718,0.739333,0.138505,-1.607705,-2.218934,1.201237,-2.257308,-0.351348,0.748553,-1.132345,-1.474087,-2.614804,0.712769,-1.065322,-0.035011,0.142769,0.154505,0.151262,A
9446.648,1.232,3,Playing d_bow...,Note,57,A3,A,0.766958,0.338179,0.740751,0.13772,-1.606522,-2.221785,1.204468,-2.255709,-0.346701,0.740486,-1.127681,-1.476265,-2.614237,0.508102,-0.101389,-1.141672,0.12545,0.200504,0.180051,A
9446.656,1.24,3,Playing d_bow...,Note,57,A3,A,0.758958,0.337627,0.742153,0.136936,-1.605401,-2.224758,1.207336,-2.254112,-0.342082,0.732499,-1.123321,-1.478413,-2.613681,1.431495,0.082153,-0.284589,0.143693,0.17145,0.137294,A
9446.664,1.248,3,Playing d_bow...,Note,57,A3,A,0.750958,0.337062,0.743536,0.136084,-1.604178,-2.227419,1.21069,-2.252522,-0.337401,0.724545,-1.118669,-1.480481,-2.613112,1.318787,0.784401,-1.454618,0.120456,0.202739,0.179939,A
9446.672,1.256,3,Playing d_bow...,Note,57,A3,A,0.742958,0.336467,0.744911,0.135237,-1.602901,-2.230263,1.213789,-2.250905,-0.332736,0.716625,-1.114219,-1.482563,-2.612603,1.16218,-0.216827,-0.360437,0.13763,0.177589,0.146292,A
9446.68,1.264,3,Playing d_bow...,Note,57,A3,A,0.734958,0.335875,0.746231,0.134424,-1.601637,-2.232815,1.217261,-2.249342,-0.328246,0.708957,-1.109552,-1.4846,-2.612048,0.065356,-0.877536,-0.447168,0.129616,0.168017,0.150421,A
